Survey Category,Question ID,Domain Covered,Question,Guide Explanation,Answer Format,Survey Answer Options Style,Survey Answer Options Definitions,Answer Guide
Technology Infrastructure & End User Devices,ID_01,Network Connectivity Hardware,"What is the ratio of deployed Wi-Fi access points to your venue's maximum seating capacity?","Wi-Fi access point density is the single most important infrastructure metric. It determines whether mobile ordering, cashless payment, venue apps, and staff devices function reliably at full capacity. Higher AP density supports multi-device-per-fan environments and enables the mobile commerce layer that drives 16–25% per-cap spending increases. This metric will vary significantly across venues and correlates directly to mobile ordering adoption, app reliability, and POS uptime.",5-option single select,Drop down,"A: Fewer than 1 AP per 150 seats | B: 1 AP per 100–150 seats | C: 1 AP per 50–99 seats | D: 1 AP per 25–49 seats | E: 1 AP per 24 or fewer seats (high-density deployment)","Score A=1 through E=5. To calculate: divide total deployed APs by maximum seated capacity. Include all fan-facing APs (bowl, concourse, clubs, suites). Exclude back-of-house-only APs. If exact AP count is unknown, consult your network vendor or Extreme Networks deployment records. Venues scoring A or B likely experience connectivity complaints and lower mobile ordering adoption. Target benchmark for modern venues is D or E."
Digital Infrastructure,DI_07,Network & Data Security,"What is the maturity of your cybersecurity program as it applies to venue technology systems (network, POS, ticketing, operations, fan-facing platforms)?","A breach of POS or ticketing systems exposes fan payment data, disrupts game-day operations, and creates massive reputational and financial liability. NFL venues process millions of credit card transactions per season and collect extensive fan PII through apps, Wi-Fi, and loyalty programs. Cybersecurity maturity is both an operational risk metric and a modernization indicator.",5-option single select,Drop down,"A: No formal cybersecurity program specific to venue technology; rely on general corporate IT security | B: Basic protections in place (firewalls, antivirus) but no venue-specific security assessment or incident response plan | C: Venue-specific security assessment completed; firewalls, endpoint protection, and network segmentation in place | D: Active security monitoring (SIEM or MDR service), regular vulnerability scanning, incident response plan tested within last 12 months | E: Comprehensive cybersecurity program: 24/7 monitoring, regular penetration testing, incident response tested and rehearsed, vendor security reviews, and compliance with PCI-DSS for payment systems","Score A=1 through E=5. Answer based on the cybersecurity program covering venue-specific technology, not the team's broader corporate IT security. PCI-DSS compliance is the payment card industry standard. Venues scoring A or B carry material risk that may also create liability for the league."
Digital Infrastructure,DI_08,Cloud & Compute,"Can your compute environment scale on demand to handle peak game-day loads (e.g., ticket on-sales, halftime mobile ordering surges, concurrent app sessions) without performance degradation?","Game-day traffic patterns are extremely spiky — mobile ordering surges at halftime, app sessions spike at kickoff, and ticket on-sales can generate 10–100× normal traffic in minutes. Compute infrastructure that cannot scale causes app crashes, failed transactions, and lost revenue during the highest-value windows.",5-option single select,Drop down,"A: No auto-scaling capability — compute capacity is fixed and sized for average load | B: Limited scaling — some cloud workloads can scale but on-premise systems cannot | C: Most cloud workloads auto-scale; on-premise systems are provisioned for expected peak but without dynamic headroom | D: Cloud workloads auto-scale; on-premise workloads are provisioned with documented headroom above expected peak | E: Full elastic scaling across cloud and edge compute with load testing conducted prior to season, documented peak capacity thresholds, and automated alerting when thresholds approach","Score A=1 through E=5. 'Auto-scale' means the compute environment automatically provisions additional resources when demand increases. If your POS processing is hosted on a fixed on-premise server that struggles during playoffs, that is B or C. Select E only if load testing has validated scaling behavior."
Digital Infrastructure,DI_09,Monitoring & Performance,"What technology support resources are actively engaged during game-day events to monitor systems and respond to issues?","Game day is a 6–8 hour high-stakes window where every minute of system downtime has direct fan experience and revenue consequences. The technology support model determines how quickly issues are detected and resolved.",5-option single select,Drop down,"A: No dedicated technology support during events — issues are escalated to regular IT support or vendor help desks | B: 1–2 IT staff on-site for events but without a defined game-day monitoring or response protocol | C: Dedicated on-site technology team with defined monitoring responsibilities and escalation paths for major systems | D: On-site technology team in a dedicated command center monitoring all critical systems with real-time dashboards and defined SLAs for response | E: Technology command center staffed with on-site team plus vendor representatives for critical systems; real-time dashboards, documented runbooks, defined SLAs, and post-event incident review process","Score A=1 through E=5. 'Dedicated command center' means a physical or virtual space specifically used for technology monitoring during events. 'Vendor representatives' means key vendors have either on-site staff or dedicated remote support lines active during game-day windows. Select E only if post-event incident review is standard practice."
Digital Infrastructure,DI_10,Data Storage & Management,"Do you have a documented data backup and disaster recovery plan for your venue's critical technology data (ticketing, POS, CRM, operational)?","Data loss from a system failure, ransomware attack, or vendor outage can disrupt game-day operations and destroy years of fan relationship history. Backup and DR planning is a baseline operational hygiene metric that also indicates modernization maturity.",5-option single select,Drop down,"A: No formal backup or DR plan for venue technology data | B: Backups exist for some systems but are ad hoc; no documented recovery plan or tested RPO/RTO | C: Scheduled backups for critical systems with a documented DR plan, but not tested within the last 12 months | D: Scheduled backups for all critical systems; DR plan tested within the last 12 months with defined RPO/RTO | E: Automated backups with geo-redundant replication; DR plan tested at least annually with documented RPO under 1 hour and RTO under 4 hours for critical systems","Score A=1 through E=5. RPO (Recovery Point Objective) = maximum acceptable data loss measured in time. RTO (Recovery Time Objective) = maximum acceptable downtime. If you have backups but have never tested restoration, that is B or C at best. Venues scoring A or B carry significant operational risk."
AI & Innovation,AI_01,Computer Vision & Video Analytics,"Does your venue use AI-powered computer vision to analyze crowd density and flow patterns in real time during events?","Real-time crowd intelligence is the highest-impact AI application for stadium operations today. It enables dynamic staffing redeployment, congestion rerouting, and safety alerts that directly impact fan experience and operational efficiency. This is the intelligence layer on top of camera hardware (Layer 1) and VMS software (Layer 2).",5-option single select,Drop down,"A: No AI-powered crowd analytics in use | B: Pilot or proof-of-concept in 1–2 zones (e.g., a single gate or concourse section) | C: Active in select high-traffic zones (main gates, busiest concourses) providing real-time data to operations | D: Active across most fan-accessible areas; data feeds into operations dashboards and triggers staffing recommendations | E: Venue-wide real-time crowd analytics integrated with operations platform, dynamic signage (rerouting), mobile app (wayfinding), and post-event optimization models","Score A=1 through E=5. 'AI-powered' means computer vision and machine learning automatically detect and count people, measure density, and track flow — not manual camera observation. The key differentiator between D and E is whether analytics trigger automated actions (signage changes, app notifications) or only inform human decisions."
AI & Innovation,AI_02,Computer Vision & Video Analytics,"Does your venue use AI/computer vision to measure queue lengths and estimate wait times at concession stands, restrooms, or entry gates — and share this information with fans?","Wait time is consistently the #1 in-venue complaint. AI-powered queue measurement transforms a subjective pain point into a manageable, data-driven operation. When fans see estimated wait times, they redistribute to shorter lines — smoothing demand, reducing abandonment, and increasing total concession throughput. The critical differentiation is whether wait time data is shared with fans versus kept internal to operations.",5-option single select,Drop down,"A: No AI-based queue measurement | B: AI queue measurement piloted at 1–2 locations; data is internal to ops only | C: AI queue measurement active at multiple high-traffic locations; data visible to operations staff | D: AI queue measurement active broadly; estimated wait times shared with fans via app or digital signage | E: Venue-wide AI queue measurement with fan-facing wait times, predictive modeling that anticipates surges, and automated demand redistribution (signage rerouting, app suggestions to shorter lines)","Score A=1 through E=5. 'AI-based queue measurement' means computer vision or sensor-based systems that automatically estimate queue length and wait time — not staff manually counting. Select D only if wait time information is actively shared with fans. Select E only if the system includes predictive capability and automated redistribution."
AI & Innovation,AI_03,Predictive Analytics & Decision Intelligence,"Does your venue use AI/ML models to predict concession demand by location, product, daypart, or game profile — beyond simple historical averages?","AI demand forecasting addresses one of the largest controllable cost leaks in stadium operations: food waste and stockouts. Documented results show 30–70% food waste reduction and 2–8% margin protection. For a venue doing $1.5–2M in concession revenue per game, that margin protection is significant.",5-option single select,Drop down,"A: No predictive demand forecasting — stocking is based on fixed par levels or manual estimates | B: Basic historical averages inform stocking decisions but no ML-based prediction | C: ML-based demand model in use for venue-wide forecasting but not location-specific | D: ML-based demand model predicting at the location level, incorporating game profile, weather, and opponent factors | E: Advanced demand model predicting by location, product, and daypart — integrated with inventory management and automated reorder/restock triggers","Score A=1 through E=5. 'ML-based prediction' means a model trained on historical data that generates forward-looking demand estimates — not a human reviewing last year's numbers. If an algorithm generates per-stand demand forecasts incorporating multiple variables, that is C or higher. The key differentiator between D and E is whether predictions trigger automated inventory actions."
AI & Innovation,AI_04,Intelligent Sponsorship & Monetization,"Does your venue use AI (computer vision, audience measurement, or attribution modeling) to measure and attribute the actual impact of sponsor activations — beyond estimated attendance?","This targets the single largest untapped revenue opportunity for most NFL venues. Moving from estimated to verified and attributed sponsor impressions enables premium pricing. This is the intelligence layer on top of signage CMS (Layer 2) and camera hardware (Layer 1).",5-option single select,Drop down,"A: No AI-based impression or attribution measurement | B: Basic computer vision used for foot traffic counting at select sponsor zones | C: AI-powered impression measurement (views, dwell time) across select activations with post-event reporting | D: Comprehensive AI impression measurement across most sponsor activations with audience demographics and engagement data | E: Full attribution platform connecting sponsor impression data to fan purchase behavior, enabling ROI measurement per activation — shared with sponsors via real-time or post-event dashboards","Score A=1 through E=5. 'AI-based impression measurement' means computer vision or sensor-based systems that count views and measure attention — not manual observation or assumed impressions. The leap from D to E is attribution — connecting impression data to actual purchase behavior. Select E only if impression data is connected to transaction data and shared with sponsors."
AI & Innovation,AI_05,Dynamic Pricing & Revenue Optimization,"Does your venue use AI to deliver personalized offers, upgrades, or upsell recommendations to individual fans based on their profile, behavior, or context?","Personalized offers convert at dramatically higher rates than blanket promotions. Context-aware upsells capture incremental revenue that blanket promotions miss. This is the AI layer on top of the mobile app (Layer 2), CRM (Layer 2), and unified fan identity (Layer 3).",5-option single select,Drop down,"A: No personalized offers — all promotions are the same for all fans | B: Segment-based offers (e.g., all single-game buyers get same offer) but not individually personalized | C: Some personalization based on purchase history (e.g., recommending previously purchased items) | D: AI-driven personalization using multiple data points (purchase history, app behavior, location, preferences) for targeted offers | E: Real-time AI-driven personalization engine delivering context-aware offers across app, email, and in-venue touchpoints — with A/B testing and conversion optimization","Score A=1 through E=5. The key distinction is between segment-based (B) and individual-level (C+) personalization. If every fan in a segment receives the same offer, that is B regardless of segment count. Select E only if the system includes A/B testing or optimization loops."
AI & Innovation,AI_06,Generative AI & Content Automation,"Does your venue offer an AI-powered chatbot or virtual assistant that fans can interact with for questions, wayfinding, ordering, or issue resolution?","AI chatbots reduce guest services staffing burden and provide fans with instant answers that improve satisfaction. Advanced chatbots integrated with venue systems can handle transactions — ordering food, requesting seat upgrades, reporting issues — extending service capacity without proportional staffing increases.",5-option single select,Drop down,"A: No AI chatbot or virtual assistant available to fans | B: Basic FAQ chatbot available on website or app with scripted/rule-based responses only | C: AI-powered chatbot with natural language understanding handling common venue questions; available on one channel (app or website) | D: AI chatbot available across multiple channels (app, website, SMS) handling questions, wayfinding, and basic transactions | E: Advanced AI assistant with conversational AI, integrated with venue systems (ticketing, POS, wayfinding, operations) — capable of personalized recommendations, ordering, issue resolution, and escalation to human agents","Score A=1 through E=5. Select C or higher only if the chatbot uses natural language understanding or a large language model — not pre-scripted keyword matching. The distinction between D and E is system integration: can the chatbot execute transactions or only answer questions?"
AI & Innovation,AI_07,Predictive Analytics & Decision Intelligence,"Does your organization use AI/ML models to predict fan behaviors such as likelihood to renew season tickets, propensity to upgrade, churn risk, or spending potential?","Fan propensity modeling has the most direct, measurable revenue impact for front-office operations. A model identifying fans at high risk of non-renewal 3 months before the deadline enables targeted retention campaigns. This is the intelligence layer on top of CRM (Layer 2) and CDP (Layer 2).",5-option single select,Drop down,"A: No fan propensity or behavioral modeling | B: Basic segmentation (e.g., high/medium/low spenders) based on rules but no ML-based prediction | C: ML-based propensity model in use for one use case (e.g., renewal prediction or churn risk) | D: ML models active for multiple fan behavior use cases (renewal, upgrade propensity, spending potential) informing marketing campaigns | E: Comprehensive fan intelligence platform with multiple ML models integrated into CRM and campaign execution — enabling automated, personalized interventions at scale","Score A=1 through E=5. The distinction between B and C is whether predictions are generated by a trained ML model versus human-defined rules. Select D only if multiple distinct prediction models are in production. Select E only if model outputs are directly integrated into marketing automation triggering automated actions."
AI & Innovation,AI_08,Intelligent Sponsorship & Monetization,"Does your venue use AI or programmatic technology to dynamically serve sponsor content on digital signage based on audience composition, time, game state, or performance data?","Programmatic in-venue advertising applies the logic that revolutionized online advertising — serving the right ad to the right audience at the right time — to physical venue displays. This is the intelligence layer on top of signage CMS (Layer 2) and display hardware (Layer 1).",5-option single select,Drop down,"A: No programmatic or AI-driven ad serving — signage content is manually scheduled | B: Basic rule-based automation (e.g., sponsor A shows at halftime) but no audience-aware targeting | C: Some programmatic ad serving on select displays using basic triggers (time, game state) | D: Programmatic serving across most digital signage using audience data, game state, and sponsor performance metrics | E: Fully AI-driven programmatic platform across all digital touchpoints (signage, app, IPTV) with real-time audience measurement, automated optimization, and sponsor-facing performance dashboards","Score A=1 through E=5. Rule-based automation (if halftime, show sponsor A) is option B. True programmatic serving (C+) requires an intelligence layer making decisions based on multiple dynamic inputs. Select E only if the platform spans all digital touchpoints and includes sponsor-accessible dashboards."
AI & Innovation,AI_09,Digital Twin & Simulation,"Does your venue have a digital twin — a virtual model of the physical venue used for operational planning, simulation, or real-time monitoring?","SoFi Stadium's Willow-powered digital twin contains 136,000 individual assets and 1.8 million attributes. The global digital twin market is projected to grow from $13.6B to $428B by 2034. Digital twin maturity is a strong indicator of overall technology sophistication.",5-option single select,Drop down,"A: No digital twin exists | B: Basic 3D model or BIM model exists from construction but is not actively used for operations | C: Digital twin in development or partial deployment (e.g., covering building systems but not crowd simulation) | D: Operational digital twin covering building systems and asset management, used for maintenance planning and event configuration | E: Comprehensive digital twin integrating building systems, crowd flow simulation, real-time IoT data, and scenario planning — used for both day-to-day operations and strategic planning","Score A=1 through E=5. A 'digital twin' means a dynamic virtual model reflecting the current state of the physical venue, actively used for operational purposes — not a static architectural model. If a BIM model exists but no one uses it operationally, that is B. Key vendors: Willow, Team D3, 3D Digital Venue."
AI & Innovation,AI_10,Emerging & Experimental,"Does your organization have a formal process for evaluating, piloting, and scaling new technology innovations in the venue environment?","This is the meta-question predicting a venue's future AI and innovation trajectory. Venues with formal innovation pipelines adopted checkout-free retail, AI screening, and dynamic pricing years ahead of peers. The Intuit Dome's partnership with Globant (500+ features, 400+ employees) exemplifies what a mature innovation pipeline produces.",5-option single select,Drop down,"A: No formal process — new technology is adopted ad hoc or vendor-driven | B: Informal awareness of emerging technology but no structured evaluation process | C: Designated person or team responsible for tracking emerging technology with periodic evaluation | D: Formal innovation pipeline: structured evaluation criteria, pilot framework, and success metrics for new technology | E: Mature innovation program with dedicated budget, structured pipeline, pilot-to-scale framework, technology partner relationships, and regular reporting to leadership on innovation ROI","Score A=1 through E=5. This measures organizational capability, not specific deployments. A venue that deployed one innovative technology through a vendor pitch is still A or B if there is no repeatable process. Select E only if there is dedicated budget, a structured pipeline, and regular reporting on innovation outcomes. This will likely be one of the strongest predictors of a venue's overall scorecard trajectory over 3–5 years."
